Date,Name,Year,id,original_title,imdb_id,original_language,overview,popularity,budget,genres,homepage,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,production_companies,production_countries,spoken_languages_full
2022-05-19,Witness for the Prosecution,1957,37257,Witness for the Prosecution,tt0051201,en,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits—but the lure of the criminal courts is too much for him, especially when the case is so difficult.",13.847,3000000,"Drama, Mystery, Crime",,1957-12-17,9000000,116,"de, en",8.224,1056,Edward Small Productions,US,"German, English"
2022-05-20,August in the Water,1995,104268,水の中の八月,tt0113834,ja,A teenage girl gains supernatural power after an accident and comes to understand her place in the universe.,3.371,0,"Science Fiction, Drama, Fantasy",,1995-09-09,0,117,ja,6.5,14,Hill Villa,JP,Japanese
2022-05-23,The Devils,1971,31767,The Devils,tt0066993,en,"In 17th-century France, Father Urbain Grandier seeks to protect the city of Loudun from the corrupt establishment of Cardinal Richelieu. Hysteria occurs within the city when he is accused of witchcraft by a sexually repressed nun.",12.717,2000000,"Drama, History",,1971-07-01,11000000,113,en,7.5,280,Russo Productions,GB,English
2022-05-23,Nights of Cabiria,1957,19426,Le notti di Cabiria,tt0050783,it,"Rome, 1957. A woman, Cabiria, is robbed and left to drown by her boyfriend, Giorgio. Rescued, she resumes her life and tries her best to find happiness in a cynical world. Even when she thinks her struggles are over and she has found happiness and contentment, things may not be what they seem.",11.192,0,Drama,,1957-10-03,752045,110,it,8.044,598,"Dino de Laurentiis Cinematografica, Les Films Marceau","IT, FR",Italian
2022-05-26,The Best Years of Our Lives,1946,887,The Best Years of Our Lives,tt0036868,en,"It's the hope that sustains the spirit of every GI: the dream of the day when he will finally return home. For three WWII veterans, the day has arrived. But for each man, the dream is about to become a nightmare.",9.369,2100000,"Drama, Romance, War",,1946-12-25,23650000,171,en,7.832,489,"RKO Radio Pictures, Samuel Goldwyn Productions",US,English
2022-05-26,The Goat,1921,51360,The Goat,tt0012224,en,"A series of adventures begins when Buster is mistaken for Dead Shot Dan, the evil bad guy.",6.432,0,Comedy,,1921-05-15,0,23,xx,7.3,106,"Buster Keaton Productions, Joseph M. Schenck Productions",US,No Language
2022-05-29,The Story of Film: An Odyssey,2011,0,0,,,,,,,,,,,,,,,,
2022-05-29,A Grin Without a Cat,1977,53197,Le fond de l'air est rouge,tt0076042,fr,"French essay film focusing on global political turmoil in the 1960s and '70s, particularly the rise of the New Left in France and the development of socialist movements in Latin America.",1.272,0,"Documentary, War, History",,1977-11-23,0,180,"en, es, fr",7.722,18,"Iskra, Dovidis",FR,"English, Spanish, French"
2022-05-29,The Valley of the Bees,1968,25908,Údolí včel,tt0122770,cs,"Cast out by his father, young Ondrej joins the Order of the Teutonic Knights, where he is raised by strict monk Armin. After years of hardship, Ondrej escapes from the Order when he is wrongly punished, and sets out for his former home.  Arriving to discover his father to be dead, Armin now not only assumes control of his fathers properties, but seeks to marry his former stepmother.",2.016,0,"Drama, History",,1968-05-17,0,97,cs,7.076,33,Filmové studio Barrandov,XC,Czech
2022-05-29,Dekalog,1989,51108,"Dekalog, dwa",tt0094984,pl,"Dorota Geller, a married woman, faces a dilemma involving her sick husband's prognosis. Her husband's doctor, who believes in God, sweared about it in vain.",4.405,0,"Drama, TV Movie",,1989-09-06,0,57,pl,7.335,130,"TVP, Sender Freies Berlin, Studio Filmowe Tor","DE, PL",Polish
